Артикул;Свободный остаток;Оптовая
180/001-CR;32;1583;
180/002-CR;51;1583;
180/003-CR;125;1583;
180/004-CR;78;1583;
180/005-CR;14;1583;
180/006-CR;39;1583;
180/007-CR;66;1583;
180/008-CR;80;1583;
180/009-CR;10;1583;
180/010-CR;49;1583;
180/011-CR;37;1583;
180/012-CR;72;1583;
200/001-CR;15;1873;
200/002-CR;32;1873;
200/003-CR;73;1873;
200/004-CR;77;1873;
200/005-CR;47;1873;
200/006-CR;26;1873;
200/007-CR;40;1873;
200/008-CR;71;1873;
200/009-CR;117;1873;
200/010-CR;79;1873;
200/011-CR;111;1873;
200/012-CR;25;1873;
150/001-CR;32;1343;
150/002-CR;84;1343;
150/003-CR;84;1343;
150/004-CR;88;1343;
150/005-CR;4;1343;
150/006-CR;58;1343;
150/007-CR;46;1343;
150/008-CR;73;1343;
150/009-CR;77;1343;
150/010-CR;49;1343;
150/011-CR;111;1343;
150/012-CR;24;1343;
180/001-MAR;29;1883;
180/002-MAR;101;1883;
180/003-MAR;41;1883;
180/004-MAR;40;1883;
180/005-MAR;7;1883;
180/006-MAR;39;1883;
180/007-MAR;41;1883;
200/001-MAR;20;2214;
200/002-MAR;47;2214;
200/003-MAR;26;2214;
200/004-MAR;32;2214;
200/005-MAR;3;2214;
200/007-MAR;38;2214;
150/001-MAR;27;1611;
150/002-MAR;106;1611;
150/003-MAR;25;1611;
150/004-MAR;34;1611;
150/006-MAR;6;1611;
150/007-MAR;38;1611;
180/001-OPM;14;1564;
180/008-OPM;5;1564;
180/009-OPM;1;1564;
180/011-OPM;8;1564;
180/012-OPM;4;1564;
180/014-OPM;33;1564;
180/015-OPM;12;1564;
180/016-OPM;5;1564;
180/017-OPM;29;1564;
200/001-OPM;41;1851;
200/008-OPM;62;1851;
200/011-OPM;8;1851;
200/012-OPM;1;1851;
200/014-OPM;16;1851;
200/016-OPM;54;1851;
150/001-OPM;63;1328;
150/002-OPM;12;1328;
150/003-OPM;1;1328;
150/006-OPM;2;1328;
150/007-OPM;1;1328;
150/008-OPM;61;1328;
150/009-OPM;4;1328;
150/010-OPM;2;1328;
150/011-OPM;53;1328;
150/012-OPM;14;1328;
150/014-OPM;47;1328;
150/015-OPM;31;1328;
150/016-OPM;50;1328;
150/017-OPM;48;1328;
180/002-OMB;77;1405;
180/006-OMB;69;1405;
180/007-OMB;1;1405;
180/010-OMB;150;1405;
180/011-OMB;33;1405;
180/012-OMB;34;1405;
200/001-OMB;3;1658;
200/002-OMB;74;1658;
200/003-OMB;1;1658;
200/006-OMB;9;1658;
200/007-OMB;18;1658;
200/008-OMB;8;1658;
200/009-OMB;17;1658;
200/010-OMB;34;1658;
200/011-OMB;115;1658;
200/012-OMB;9;1658;
150/001-OMB;113;1194;
150/002-OMB;60;1194;
150/003-OMB;4;1194;
150/006-OMB;141;1194;
150/007-OMB;68;1194;
150/008-OMB;46;1194;
150/009-OMB;63;1194;
150/010-OMB;84;1194;
150/011-OMB;114;1194;
150/012-OMB;112;1194;
180/003-OT;1;1564;
180/004-OT;29;1564;
180/005-OT;55;1564;
180/007-OT;34;1564;
180/008-OT;81;1564;
180/009-OT;87;1564;
180/010-OT;16;1564;
180/011-OT;30;1564;
180/012-OT;2;1564;
200/004-OT;9;1851;
200/005-OT;24;1851;
200/007-OT;1;1851;
200/008-OT;91;1851;
200/009-OT;55;1851;
200/010-OT;42;1851;
200/011-OT;35;1851;
200/012-OT;12;1851;
150/002-OT;1;1328;
150/003-OT;1;1328;
150/004-OT;33;1328;
150/005-OT;41;1328;
150/006-OT;3;1328;
150/007-OT;28;1328;
150/008-OT;85;1328;
150/009-OT;87;1328;
150/010-OT;57;1328;
150/011-OT;21;1328;
150/012-OT;15;1328;
180/001-ORS;7;1564;
180/002-ORS;20;1564;
180/003-ORS;1;1564;
180/005-ORS;7;1564;
180/006-ORS;4;1564;
180/007-ORS;45;1564;
180/010-ORS;1;1564;
180/011-ORS;1;1564;
200/001-ORS;76;1851;
200/002-ORS;92;1851;
200/003-ORS;2;1851;
200/005-ORS;1;1851;
200/006-ORS;59;1851;
200/007-ORS;34;1851;
200/008-ORS;1;1851;
200/010-ORS;1;1851;
150/001-ORS;76;1328;
150/002-ORS;86;1328;
150/003-ORS;2;1328;
150/004-ORS;1;1328;
150/006-ORS;57;1328;
150/007-ORS;102;1328;
150/008-ORS;1;1328;
150/009-ORS;1;1328;
150/010-ORS;24;1328;
150/011-ORS;3;1328;
180/002-PAL;29;1564;
180/003-PAL;31;1564;
180/004-PAL;1;1564;
180/005-PAL;46;1564;
180/006-PAL;48;1564;
180/007-PAL;1;1564;
180/008-PAL;77;1564;
180/009-PAL;56;1564;
180/011-PAL;34;1564;
180/012-PAL;60;1564;
200/002-PAL;104;1851;
200/005-PAL;9;1851;
200/006-PAL;5;1851;
200/007-PAL;78;1851;
200/008-PAL;67;1851;
200/009-PAL;66;1851;
200/010-PAL;1;1851;
200/011-PAL;23;1851;
200/012-PAL;22;1851;
150/002-PAL;120;1328;
150/003-PAL;18;1328;
150/004-PAL;4;1328;
150/005-PAL;58;1328;
150/006-PAL;62;1328;
150/007-PAL;110;1328;
150/008-PAL;96;1328;
150/009-PAL;59;1328;
150/011-PAL;51;1328;
150/012-PAL;17;1328;
180/004-PN;32;1170;
180/005-PN;2;1170;
180/007-PN;12;1170;
180/008-PN;4;1170;
180/008-PNP;5;1405;
180/009-PN;44;1170;
180/010-PN;26;1170;
180/010-PNP;37;1405;
180/011-PNP;12;1405;
180/012-PNP;1;1405;
180/013-PN;124;1170;
180/013-PNP;4;1405;
180/014-PN;1;1170;
180/014-PNP;4;1405;
180/015-PN;251;1170;
180/015-PNP;1;1405;
180/016-PN;97;1170;
180/017-PN;254;1170;
180/017-PNP;15;1405;
180/018-PN;82;1170;
180/018-PNP;2;1405;
200/005-PN;1;1371;
200/007-PN;25;1371;
200/008-PN;1;1371;
200/008-PNP;6;1658;
200/009-PN;138;1371;
200/010-PNP;17;1658;
200/011-PN;101;1371;
200/012-PNP;4;1658;
200/013-PN;160;1371;
200/013-PNP;1;1658;
200/014-PN;1;1371;
200/014-PNP;6;1658;
200/015-PN;303;1371;
200/016-PN;88;1371;
200/016-PNP;1;1658;
200/017-PN;67;1371;
200/017-PNP;3;1658;
200/018-PN;102;1371;
200/018-PNP;9;1658;
200/019-PN;3;1371;
150/005-PN;6;998;
150/007-PN;91;998;
150/007-PNP;1;1194;
150/008-PN;1;998;
150/008-PNP;3;1194;
150/009-PN;145;998;
150/010-PN;327;998;
150/010-PNP;1;1194;
150/011-PN;2;998;
150/011-PNP;7;1194;
150/012-PNP;31;1194;
150/013-PN;120;998;
150/013-PNP;2;1194;
150/014-PN;1;998;
150/014-PNP;4;1194;
150/015-PN;417;998;
150/016-PN;97;998;
150/017-PN;64;998;
150/017-PNP;16;1194;
150/018-PN;601;998;
150/018-PNP;1;1194;
150/019-PN;6;998;
180/001-RP;69;1583;
180/003-RP;19;1583;
180/003-RP/L;7;;
180/005-RP;72;1583;
180/008-RP;27;1583;
180/009-RP;24;1583;
180/013-RP;20;1583;
180/014-RP;17;1583;
180/015-RP;56;1583;
180/016-RP;12;1583;
180/017-RP;17;1583;
180/020-RP;17;1583;
200/001-RP;102;1873;
200/003-RP;13;1873;
200/004-RP;5;1873;
200/005-RP;84;1873;
200/008-RP;24;1873;
200/009-RP;18;1873;
200/013-RP;91;1873;
200/014-RP;13;1873;
200/015-RP;74;1873;
200/016-RP;49;1873;
200/017-RP;71;1873;
200/020-RP;33;1873;
150/001-RP;266;1343;
150/003-RP;13;1343;
150/003-RP/L;2;;
150/004-RP;2;1343;
150/005-RP;39;1343;
150/008-RP;31;1343;
150/009-RP;16;1343;
150/013-RP;51;1343;
150/014-RP;17;1343;
150/015-RP;47;1343;
150/015-RP/L;1;;
150/016-RP;45;1343;
150/017-RP;134;1343;
150/020-RP;50;1343;
180/002-PBN;31;1484;
180/006-PBN;96;1484;
180/007-PBN;38;1484;
180/009-PBN;27;1484;
180/011-PBN;1;1484;
180/012-PBN;1;1484;
180/013-PBN;51;1484;
180/015-PBN;100;1484;
180/016-PBN;133;1484;
180/017-PBN;119;1484;
180/018-PBN;111;1484;
180/019-PBN;98;1484;
180/020-PBN;96;1484;
180/021-PBN;72;1484;
180/022-PBN;84;1484;
200/005-PBN;1;1777;
200/006-PBN;68;1777;
200/007-PBN;137;1777;
200/009-PBN;4;1777;
200/011-PBN;14;1777;
200/013-PBN;8;1777;
200/014-PBN;2;1777;
200/015-PBN;1;1777;
200/017-PBN;75;1777;
200/018-PBN;75;1777;
200/019-PBN;81;1777;
200/020-PBN;81;1777;
200/021-PBN;6;1777;
200/022-PBN;39;1777;
150/002-PBN;141;1259;
150/005-PBN;1;1259;
150/007-PBN;38;1259;
150/009-PBN;4;1259;
150/012-PBN;1;1259;
150/013-PBN;111;1259;
150/016-PBN;120;1259;
150/017-PBN;92;1259;
150/018-PBN;81;1259;
150/019-PBN;71;1259;
150/020-PBN;87;1259;
150/021-PBN;25;1259;
150/022-PBN;40;1259;
180/111-pb;1;1374;
180/139-pb;11;1374;
180/228-pb;8;1374;
180/238-pb;62;1374;
180/239-pb;1;1374;
180/242-pb;96;1374;
180/244-pb;105;1374;
180/247-pb;31;1374;
180/248-pb;6;1374;
180/249-pb;2;1374;
180/260-pb;15;1374;
180/261-pb;19;1374;
180/263-pb;15;1374;
180/266-pb;67;1374;
180/267-pb;22;1374;
180/268-pb;16;1374;
180/270-pb;14;1374;
200/139-pb;79;1630;
200/228-pb;43;1630;
200/238-pb;67;1630;
200/239-pb;6;1630;
200/242-pb;80;1630;
200/243-pb;36;1630;
200/244-pb;98;1630;
200/247-pb;19;1630;
200/248-pb;66;1630;
200/260-pb;12;1630;
200/261-pb;19;1630;
200/263-pb;43;1630;
200/266-pb;97;1630;
200/267-pb;53;1630;
200/268-pb;19;1630;
200/270-pb;46;1630;
150/139-pb;20;1167;
150/194-pb;39;1167;
150/228-pb;14;1167;
150/236-pb;5;1167;
150/238-pb;70;1167;
150/239-pb;30;1167;
150/242-pb;110;1167;
150/244-pb;102;1167;
150/246-pb;1;1167;
150/247-pb;19;1167;
150/249-pb;1;1167;
150/260-pb;6;1167;
150/261-pb;20;1167;
150/266-pb;24;1167;
150/268-pb;14;1167;
200/125-pf;31;1658;
200/153-pf;2;1658;
200/163-pf;216;1658;
200/170-pf;80;1658;
200/172-pf;1;1658;
200/174-pf;34;1658;
200/175-pf;177;1658;
200/176-pf;2;1658;
200/180-pf;2;1658;
180/119-pf;9;1405;
180/125-pf;84;1405;
180/129-pf;1;800;
180/136-pf;9;1405;
180/142-pf;3;1405;
180/165-pf;6;1405;
180/168-pf;1;1405;
180/170-pf;61;1405;
180/171-pf;1;1405;
180/172-pf;43;1405;
180/173-pf;130;1405;
180/174-pf;93;1405;
180/175-pf;44;1405;
180/178-pf;5;1405;
180/180-pf;36;1405;
180/184-pf;66;1405;
180/187-pf;29;1405;
180/188-pf;49;1405;
150/119-pf;1;1194;
150/125-pf;74;1194;
150/134-pf;341;700;
150/136-pf;37;1194;
150/140-pf;15;1194;
150/170-pf;88;1194;
150/171-pf;11;1194;
150/172-pf;93;1194;
150/173-pf;131;1194;
150/174-pf;70;1194;
150/175-pf;123;1194;
150/180-pf;14;1194;
150/184-pf;64;1194;
150/187-pf;31;1194;
150/188-pf;44;1194;
180/002-OP;27;1564;
180/022-OP;43;1564;
180/052-OP;90;1564;
180/072-OP;26;1564;
180/082-OP;137;1564;
180/096-OP;45;1564;
180/098-OP;31;1564;
180/099-OP;2;1564;
180/118-OP;20;1564;
180/148-OP;41;1564;
180/151-OP;78;1564;
180/168-OP;90;1564;
180/169-OP;9;1564;
200/002-OP;48;1851;
200/022-OP;24;1851;
200/052-OP;123;1851;
200/062-OP;1;1851;
200/072-OP;19;1851;
200/082-OP;41;1851;
200/096-OP;40;1851;
200/098-OP;1;1851;
200/117-OP;5;1851;
200/118-OP;1;1851;
200/148-OP;7;1851;
200/151-OP;13;1851;
200/167-OP;10;1851;
200/169-OP;9;1851;
150/002-OP;6;1328;
150/022-OP;72;1328;
150/052-OP;55;1328;
150/072-OP;3;1328;
150/082-OP;81;1328;
150/096-OP;44;1328;
150/098-OP;89;1328;
150/099-OP;2;1328;
150/117-OP;1;1328;
150/118-OP;1;1328;
150/148-OP;11;1328;
150/151-OP;110;1328;
150/167-OP;1;1328;
150/168-OP;129;1328;
150/169-OP;11;1328;
180/027-pd;2;1000;
180/055-pd;4;1000;
180/057-pd;11;1000;
180/058-pd;3;1000;
200/027-pd;4;1175;
200/055-pd;12;1175;
150/049-pd;22;850;
150/054-pd;23;850;
150/055-pd;2;850;
150/056-pd;24;850;
150/057-pd;12;850;
180/001-SH;120;1000;
180/002-SH;12;1000;
180/003-SH;15;1000;
180/004-SH;98;1000;
180/012-SH;25;1000;
200/012-SH;52;1375;
150/001-SH;119;850;
150/002-SH;28;850;
150/003-SH;33;850;
150/004-SH;10;850;
150/012-SH;199;850;
30/002-PPA;1;774;
30/003-PSA;3;934;
140/01;14;1550;
140/02;12;1550;
140/03;8;1550;
140/04;7;1550;
140/06;14;1550;
140/07;15;1550;
140/08;10;1550;
140/10;15;1550;
140/12;12;1550;
140/13;14;1550;
140/14;5;1550;
140/15;12;1550;
140/16;12;1550;
140/17;12;1550;
140/18;1;1550;
140/19;2;1550;
140/20;11;1550;
140/21;14;1550;
140/22;14;1550;
172/01;13;1890;
172/02;28;1890;
172/03;10;1890;
172/04;20;1890;
172/06;14;1890;
172/07;30;1890;
172/08;10;1890;
172/10;15;1890;
172/12;15;1890;
172/13;14;1890;
172/14;13;1890;
172/15;15;1890;
172/16;15;1890;
172/17;15;1890;
172/18;7;1890;
172/19;8;1890;
172/20;15;1890;
172/21;15;1890;
172/22;15;1890;
220/13;10;2365;
220/01;6;2365;
220/02;4;2365;
220/03;5;2365;
220/04;4;2365;
220/05;3;2365;
220/06;7;2365;
220/07;11;2365;
220/08;6;2365;
220/10;6;2365;
220/11;3;2365;
220/12;5;2365;
220/14;4;2365;
220/15;5;2365;
220/16;5;2365;
220/17;5;2365;
220/18;5;2365;
220/19;5;2365;
220/20;5;2365;
220/21;16;2365;
220/22;6;2365;
50/002-SD;1;1760;
50/004-SD;1;1760;
70/004-SD;45;2192;
50/001-CT;1;1050;
50/001-EC;1;872;
50/001-ECn;237;935;
70/001-ECn;181;1185;
70/001-LC;1;1325;
50/001-LM;2;1100;
70/001-LM;2;1250;
50/001-LV;23;1675;
70/001-LV;34;1945;
50/001-BO;26;1670;
70/001-BO;14;1956;
50/001-SE;1;1675;
70/001-SE;41;1956;
50/001-SW;96;790;
70/001-SW;96;1000;
50/001-TL;1;1675;
70/001-TN;4;1500;
70/001-DS;1;4262;
50/001-DS;1;3298;
50/001-EDS;13;910;
70/001-EDS;122;1150;
50/001-EPP;255;270;
70/001-EPP;131;330;
220/001-AG;33;7864;
220/002-AG;52;7864;
220/005-AG;54;7864;
220/006-AG;55;7864;
220/007-AG;54;7864;
220/009-AG;51;7864;
240/001-AG;141;8170;
240/002-AG;121;8170;
240/005-AG;106;8170;
240/006-AG;66;8170;
240/007-AG;162;8170;
240/009-AG;70;8170;
220/030-AD;85;3713;
220/032-AD;2;3713;
220/033-AD;28;3713;
220/035-AD;12;3713;
220/036-AD;82;3713;
220/037-AD;97;3713;
220/038-AD;1;3713;
220/039-AD;53;3713;
220/040-AD;140;3713;
240/030-AD;92;4100;
240/031-AD;1;4100;
240/033-AD;61;4100;
240/035-AD;1;4100;
240/036-AD;68;4100;
240/037-AD;37;4100;
240/039-AD;40;4100;
240/040-AD;2;4100;
220/022-BM;1;4513;
240/003-BM;3;5612;
240/008-BM;3;5612;
240/010-BM;1;5612;
200/007-CN;2;3523;
160/022-LR;1;3189;
160/024-LR;18;3189;
160/030-LR;33;3189;
160/032-LR;75;3189;
160/033-LR;97;3189;
160/034-LR;84;3189;
160/035-LR;5;3904;
160/036-LR;3;3189;
160/037-LR;59;3189;
160/038-LR;10;3189;
160/039-LR;65;3189;
200/024-LR;16;3904;
200/029-LR;5;3904;
200/030-LR;28;3904;
200/032-LR;82;3904;
200/033-LR;135;3904;
200/034-LR;121;3904;
200/035-LR;32;3904;
200/036-LR;105;3904;
200/037-LR;89;3904;
200/038-LR;66;3904;
200/039-LR;97;3904;
240/030-LR;10;5198;
240/032-LR;52;5198;
240/033-LR;89;5198;
240/034-LR;69;5198;
240/036-LR;11;5198;
240/037-LR;54;5198;
240/038-LR;13;5198;
240/039-LR;58;5198;
240/013-EL;1;5233;
220/004-GL;1;3250;
150/012-GB;1;417;
150/013-GB;1;330;
220/011-LN;1;1875;
240/011-LN;15;2200;
160/001-MR;11;1147;
160/002-MR;4;1147;
160/003-MR;4;1147;
160/004-MR;1;1147;
160/006-MR;4;1147;
160/007-MR;5;1147;
180/001-MR;13;1252;
180/002-MR;4;1252;
180/003-MR;3;1252;
180/004-MR;5;1252;
180/005-MR;5;1252;
180/006-MR;3;1252;
180/007-MR;4;1252;
200/001-MR;12;1429;
200/002-MR;6;1429;
200/003-MR;1;1429;
200/004-MR;6;1429;
200/005-MR;7;1429;
200/006-MR;2;1429;
200/007-MR;5;1429;
160/046-MY;1;2705;
230/010-MY;30;5672;
230/012-MY;79;5672;
230/028-MY;35;5672;
230/030-MY;2;5672;
230/032-MY;2;5672;
230/035-MY;1;4538;
220/003-GM;1;2375;
240/017-CH;2;2200;
230/019-MT;1;5003;
230/024-MT;1;5003;
230/028-MT;77;6254;
230/031-MT;1;6254;
230/032-MT;21;6254;
230/033-MT;31;6254;
230/034-MT;17;6254;
230/035-MT;9;6254;
240/009-RA;2;2200;
180/012-SY;2;1100;
200/001-VDR;4;3442;
200/005-VDR;5;3442;
200/006-VDR;4;3442;
200/008-VDR;4;3442;
200/009-VDR;7;3442;
200/013-VDR;6;3442;
200/014-VDR;6;3442;
200/015-VDR;6;3442;
220/001-VDR;4;3906;
220/005-VDR;6;3906;
220/009-VDR;6;3906;
220/014-VDR;5;3906;
220/015-VDR;4;3906;
230/001-VEL;10;5773;
230/002-VEL;13;5773;
230/003-VEL;6;5773;
230/004-VEL;33;5773;
230/005-VEL;30;5773;
230/006-VEL;50;5773;
220/001-VR;55;8149;
220/002-VR;81;8149;
220/003-VR;90;8149;
220/004-VR;64;8149;
220/005-VR;71;8149;
220/006-VR;91;8013;
220/007-VR;82;8149;
220/008-VR;82;8149;
220/009-VR;114;8149;
240/001-VR;47;8731;
240/002-VR;92;8731;
240/003-VR;38;8731;
240/004-VR;83;8731;
240/005-VR;100;8731;
240/006-VR;119;8731;
240/007-VR;118;8731;
240/008-VR;119;8731;
240/009-VR;133;8731;
220/007-VS;20;2375;
220/008-VS;6;2375;
240/001-VS;20;2500;
240/005-VS;3;2500;
240/006-VS;1;2500;
240/007-VS;75;2500;
240/008-VS;138;2500;
240/009-VS;1;2500;
240/020-BR;5;1875;
30/003-APS;2;563;
12/01;19;980;
12/02;20;980;
12/03;20;980;
12/04;20;980;
12/06;20;980;
12/07;20;980;
12/08;20;980;
12/10;20;980;
12/11;12;980;
12/12;20;980;
12/13;29;980;
12/14;30;980;
12/15;10;980;
12/16;40;980;
12/17;8;980;
12/18;10;980;
12/19;10;980;
12/20;10;980;
12/21;30;980;
12/22;8;980;
14/01;17;1080;
14/02;20;1080;
14/03;20;1080;
14/04;18;1080;
14/06;20;1080;
14/07;30;1080;
14/08;20;1080;
14/10;20;1080;
14/12;17;1080;
14/13;40;1080;
14/14;36;1080;
14/15;10;1080;
14/16;20;1080;
14/17;8;1080;
14/18;10;1080;
14/19;10;1080;
14/20;9;1080;
14/21;10;1080;
14/22;10;1080;
16/01;16;1190;
16/02;16;1190;
16/03;17;1190;
16/04;20;1190;
16/06;14;1190;
16/07;30;1190;
16/08;19;1190;
16/10;19;1190;
16/12;20;1190;
16/13;38;1190;
16/14;20;1190;
16/15;1;1190;
16/16;14;1190;
16/17;5;1190;
16/18;6;1190;
16/19;1;1190;
16/20;7;1190;
16/21;10;1190;
16/22;6;1190;
18/01;13;1240;
18/02;18;1240;
18/03;20;1240;
18/04;19;1240;
18/06;19;1240;
18/07;30;1240;
18/08;20;1240;
18/10;20;1240;
18/12;16;1240;
18/13;38;1240;
18/14;35;1240;
18/15;10;1240;
18/16;20;1240;
18/17;5;1240;
18/18;9;1240;
18/19;7;1240;
18/20;9;1240;
18/21;9;1240;
18/22;7;1240;
20/01;15;1325;
20/02;16;1325;
20/03;19;1325;
20/04;17;1325;
20/06;20;1325;
20/07;59;1325;
20/08;20;1325;
20/10;20;1325;
20/11;23;1325;
20/12;16;1325;
20/13;28;1325;
20/14;28;1325;
20/15;10;1325;
20/16;10;1325;
20/17;10;1325;
20/18;20;1325;
20/19;10;1325;
20/20;10;1325;
20/21;13;1325;
20/22;10;1325;
9/01;19;850;
9/02;15;850;
9/03;20;850;
9/04;18;850;
9/06;29;850;
9/07;19;850;
9/08;19;850;
9/10;18;850;
9/12;18;850;
9/13;30;850;
9/14;14;850;
9/15;10;850;
9/16;9;850;
9/17;9;850;
9/18;9;850;
9/19;10;850;
9/20;10;850;
9/21;10;850;
9/22;17;850;

