"Категория товара";Коллекция;Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Причина Уценки";Внимание;Размер;"Ткань низ";"Вес изделия в упаковке";"Тип печати";Состав;Номенклатура;Количество;Цена;МРРЦ;Фото;Описание
Простыня;;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-20;180х214;;;;;;Обычная;;;;;;;;Бязь;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048005033;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;;"Простынь 180*214 ткань хлопок ПР-20";53;367;555;http://alvitek.com.ru/upload/iblock/cf2/cf25de02ad036122c1eb6c1ab4104b65.jpeg;"ткань-бязь(хлопок 100%), бирка, постер, пакет"
Подушка;Антикризис;"AlViTek (АльВиТек)";Россия;;СП-060;60х60;;Средняя;;;;;;"Холфит-шарики (15dх64)";;;"0,56 кг";;;Спанбонд;"100%  полипропилен";;;;;;;Пакет;;;;;2000702370270;;Белый;;;"Тональность изделия может отличаться от фото";;;;;;"СП-060 Подушка 60х60 чехол спанбонд нап. холфит(500гр)";12;146;220;http://alvitek.com.ru/upload/iblock/a0b/a0bbe1e3ba3bf512427c1221953b408e.jpeg;"подушка с наполнителем ""Холфит-шарики""   (500 гр. полое силиконизированное волокно 15Dx64  ), чехол - ткань спандбонд (100% ПЭ), без канта, бирка"
"Набор полотенец";;"Метеор Текстиль";Турция;;"Метеор -9253";40х60;;;;;;;;;;;;;;Вафля;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925521046;;;;;"Тональность изделия может отличаться от фото";;;;;;"9253 Оливки В  (40х60)х2шт в коробке Набор кухонный Метеор";31;210;285;http://alvitek.com.ru/upload/iblock/81e/81e615635533f302e2526f75caf29e75.jpeg;
"Набор полотенец";;"Метеор Текстиль";Турция;;"Метеор -9221";40х60;;;;;;;;;;;;;;Вафля;"100% хлопок";;;;;;;Коробка;;"3 шт.";;;2000925521060;;;;;"Тональность изделия может отличаться от фото";;;;;;"9221 Поварята В  (40х60)х3шт в коробке Набор кухонный Метеор";20;299;405;http://alvitek.com.ru/upload/iblock/ae1/ae1d217fc569ca3c771ed0d74ac50320.jpeg;
"Набор полотенец";;MERZUKA;Турция;;"MERZUKA-9251 Сиренев";50х80+70х130;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925521213;;;;;;;;;;;"9251 Сиреневый  BUTTERFLY  (50х80+70х130 ) в коробке Набор полотенец MERZUKA";5;691;1045;http://alvitek.com.ru/upload/iblock/fcb/fcb610eb8fd923ae8467ed09ece30318.jpeg;
"Набор полотенец";;MERZUKA;Турция;;"MERZUKA-9251 Кремовый";50х80+70х130;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925521169;;;;;;;;;;;"9251 Кремовый  BUTTERFLY  (50х80+70х130 ) в коробке Набор полотенец MERZUKA";1;691;1045;http://alvitek.com.ru/upload/iblock/cb2/cb21e5742f61e7152a531c48d9e3cbb2.jpeg;
"Набор полотенец";;MERZUKA;Турция;;"MERZUKA-9230 Брусн";50х80+70х130;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925521084;;;;;"Тональность изделия может отличаться от фото";;;;;;"9230 Брусничный  BOTANIK  (50х80+70х130 ) в коробке Набор полотенец MERZUKA";5;691;965;http://alvitek.com.ru/upload/iblock/33b/33bfa7a4d893caa57f252968a855c629.jpeg;
"Набор полотенец";;MERZUKA;Турция;;"MERZUKA-9230 Светло-лил";50х80+70х130;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925521121;;;;;"Тональность изделия может отличаться от фото";;;;;;"9230 Светло-лиловый  BOTANIK  (50х80+70х130 ) в коробке Набор полотенец MERZUKA";4;691;965;http://alvitek.com.ru/upload/iblock/a86/a8628c772e91dd6486e96218c3a2ff8b.jpeg;
"Набор полотенец";;MERZUKA;Турция;;"MERZUKA-9230 Кремовый";50х80+70х130;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925521091;;;;;"Тональность изделия может отличаться от фото";;;;;;"9230 Кремовый  BOTANIK  (50х80+70х130 ) в коробке Набор полотенец MERZUKA";5;691;965;http://alvitek.com.ru/upload/iblock/a29/a29a81a0d65db0404f96f23898874e87.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-1,5-1;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514635;;;;;"Тональность изделия может отличаться от фото";;;;;;"L-1 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";1;1891;2585;http://alvitek.com.ru/upload/iblock/0d0/0d0d4e3aae2c50019dbe33e1532da7c1.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-1,5-2;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514642;;;;;"Тональность изделия может отличаться от фото";;;;;;"L-2 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";1;1891;2585;http://alvitek.com.ru/upload/iblock/7f3/7f3f898af1bbfe3e8e25766423320d41.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-1,5-3;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514659;;;;;"Тональность изделия может отличаться от фото";;;;;;"L-3 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";1;1891;2585;http://alvitek.com.ru/upload/iblock/da7/da729e254f02100f88b5c464c66f2413.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-1,5-4;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514666;;;;;"Тональность изделия может отличаться от фото";;;;;;"L-4 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";1;1891;2585;http://alvitek.com.ru/upload/iblock/6db/6db67bda29c84562a172638fb7bad6e5.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-1,5-7;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514697;;;;;"Тональность изделия может отличаться от фото";;;;;;"L-7 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";1;1891;2585;http://alvitek.com.ru/upload/iblock/1e9/1e9c45a95fd09bd7f40fc1f29a8bacb6.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-1,5-8;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514703;;;;;"Тональность изделия может отличаться от фото";;;;;;"L-8 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";1;1891;2585;http://alvitek.com.ru/upload/iblock/8e1/8e1cd3c9b92ac87461736d7375249fe5.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-1,5-9;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514710;;;;;"Тональность изделия может отличаться от фото";;;;;;"L-9 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";3;1891;2585;http://alvitek.com.ru/upload/iblock/d5b/d5b930157ccb7e693bcfec90528d9e04.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-1,5-11;Полутороспальное;;;"70х70 (2шт.)";150х215;160х220;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514611;;;;;"Тональность изделия может отличаться от фото";;;;;;"L- 11 КПБ 1,5сп сатин Однотонный ""САЙЛИД""";3;1891;2585;http://alvitek.com.ru/upload/iblock/a1c/a1c8ebc7f73868d1ffac6af2295e27cf.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-2-3;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514772;;;;;"Тональность изделия может отличаться от фото";;;;;;"L-3 КПБ 2сп сатин Однотонный ""САЙЛИД""";1;2464;3365;http://alvitek.com.ru/upload/iblock/5ae/5aefe64b52e2ffa4995da31026ab14de.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-2-4;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514789;;;;;"Тональность изделия может отличаться от фото";;;;;;"L-4 КПБ 2сп сатин Однотонный ""САЙЛИД""";1;2464;3365;http://alvitek.com.ru/upload/iblock/94c/94c0d14f7fba2877ab2588688a00740b.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-2-5;Двуспальное;;;"50х70 (2шт.)+70х70 (2шт.)";180х215;220х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514802;;;;;"Тональность изделия может отличаться от фото";;;;;;"L-5 КПБ 2сп сатин Однотонный ""САЙЛИД""";1;2464;3365;http://alvitek.com.ru/upload/iblock/2d7/2d7edcabe94d5e1107ec24d34c340611.jpeg;
