"Категория товара";Коллекция;Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Причина Уценки";Внимание;Размер;"Ткань низ";"Вес изделия в упаковке";"Тип печати";Состав;Номенклатура;Количество;Цена;МРРЦ;Фото;Описание
Наматрасник;Мулетон;"AlViTek (АльВиТек)";Россия;;НМР-180;180х200;;;;;;;;;;;;;;Мулетон;"65% хлопок/35% полиэстр";;;;Резинка;;Бейка;"Пакет ПВХ";;;;;4607048017326;;Белый;;;"Тональность изделия может отличаться от фото";;;;;;"НМР-180  Наматрасник с резинкой ""Мулетон"" 180х200";9;667;1000;http://alvitek.com.ru/upload/iblock/a25/a2507c222d50c2fb46d95908a0f34bd4.jpeg;"наматрасник на резинке ""Мулетон"" - не промокаемая дышещая ткань Мулетон, окантовка- бейка, бирка, в пакете"
Наматрасник;Мулетон;"AlViTek (АльВиТек)";Россия;;НМР-200;200х200;;;;;;;;;;;;;;Мулетон;"65% хлопок/35% полиэстр";;;;Резинка;;Бейка;"Пакет ПВХ";;;;;4607048017333;;Белый;;;"Тональность изделия может отличаться от фото";;;;;;"НМР-200  Наматрасник с резинкой ""Мулетон"" 200х200";7;724;1090;http://alvitek.com.ru/upload/iblock/da9/da912ddfcd167f9cd68749cd20efeb83.jpeg;"наматрасник на резинке ""Мулетон"" - не промокаемая дышещая ткань Мулетон, окантовка- бейка, бирка, в пакете"
Наматрасник;Мулетон;"AlViTek (АльВиТек)";Россия;;НМР-220;200х220;;;;;;;;;;;;;;Мулетон;"65% хлопок/35% полиэстр";;;;Резинка;;Бейка;"Пакет ПВХ";;;;;4607048017340;;Белый;;;"Тональность изделия может отличаться от фото";;;;;;"НМР-220  Наматрасник с резинкой ""Мулетон"" 220х200";3;789;1185;http://alvitek.com.ru/upload/iblock/6bd/6bd79ca11930d13f1a18b92e0e6036ab.jpeg;"наматрасник на резинке ""Мулетон"" - не промокаемая дышещая ткань Мулетон, окантовка- бейка, бирка, в пакете"
Наматрасник;Мулетон;"AlViTek (АльВиТек)";Россия;;НМР-060120;60х120;;;;;;;;;;;;;;Мулетон;"65% хлопок/35% полиэстр";;;;Резинка;;Бейка;"Пакет ПВХ";;;;;4607048017357;;Белый;;;"Тональность изделия может отличаться от фото";;;;;;"НМР-060120  Наматрасник с резинкой ""Мулетон"" 60х120";2;215;325;http://alvitek.com.ru/upload/iblock/a28/a2849313acd87a109385497b34d1283a.jpeg;"наматрасник на резинке ""Мулетон"" - не промокаемая дышещая ткань Мулетон, окантовка- бейка, бирка, в пакете"
Одеяло;Адажио;"AlViTek (АльВиТек)";Россия;Люкс;АС-О-24;210х240;Средняя;;;;;;;"Искусственный ""Лебяжий пух""";;;"200 гр/кв.м";;;Сатин;"100% хлопок";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048007501;;Белый;;;"Тональность изделия может отличаться от фото";;;;;;"АС-О-24 Одеяло ""Адажио"" 210х240 легкое";3;2437;3660;http://alvitek.com.ru/upload/iblock/cd7/cd77b739194c05808b504b4c22cc16f2.jpeg;"одеяло ""Адажио"" с наполнителем Искуственный ""Лебяжий пух"" (полое полиэфирное волокно высокой силиконизации 200 г./кв.м), чехол (100% хлопок) - сатин-жаккард белый, окантовка- косая бейка, уголок, бирка, флажок, постер, в чемодане"
Одеяло;Сахара;"AlViTek (АльВиТек)";Россия;Люкс;ОВШ-О-24;210х240;Легкое;;;;;;;"Верблюжья шерсть,пэ";;;"200 гр/кв.м";;;Тик;"100% хлопок";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048007563;;Кремовый;;;"Тональность изделия может отличаться от фото";;;;;;"ОВШ-О-24  Одеяло ""САХАРА"" 210х240 легкое";4;2514;3775;http://alvitek.com.ru/upload/iblock/333/333f52187277fb2be597b444aebab0bc.jpeg;"одеяло с наполнителем из верблюжьей шерсти 200 г/кв.м, чехол (100% хлопок) - ткань тик пуходержащий, окантовка-косая бейка, уголок, бирка, флажок, постер, в чемодане"
Одеяло;"""Лебяжий пух""";"AlViTek (АльВиТек)";Россия;Стандарт;ОСЛП-О-15;140х205;Легкое;;;;;;;"Искусственный ""Лебяжий пух""";;;"200 гр/кв.м";;;Тик;"100% хлопок";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048005873;;"Голубой с перьями";;;"Тональность изделия может отличаться от фото";;;;;;"ОСЛП-О-15  Одеяло 140х205  ""Лебяжий пух""  легкое";25;1329;1995;http://alvitek.com.ru/upload/iblock/90f/90fdc7d5eeb6b13e945de10d996af9ae.jpeg;"одеяло с наполнителем - ""Лебяжий пух"" (сверхтонкое полое  извитое высокосиликонизированное микроволокно)-200 г/кв.м, чехол (хлопок 100%)- ткань тик (голубой с перьями) , косая бейка, уголок, бирка, флажок, постер, в чемодане"
Одеяло;"""Лебяжий пух""";"AlViTek (АльВиТек)";Россия;Стандарт;ОСЛП-О-20;172х205;Легкое;;;;;;;"Искусственный ""Лебяжий пух""";;;"200 гр/кв.м";;;Тик;"100% хлопок";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048005880;;"Голубой с перьями";;;"Тональность изделия может отличаться от фото";;;;;;"ОСЛП-О-20  Одеяло 172х205  ""Лебяжий пух"" легкое";22;1589;2390;http://alvitek.com.ru/upload/iblock/e38/e3888975d8ea611526aecbd4030b6f76.jpeg;"одеяло с наполнителем - ""Лебяжий пух"" (сверхтонкое полое  извитое высокосиликонизированное микроволокно)-200 г/кв.м, чехол (хлопок 100%)- ткань тик (голубой с перьями) , косая бейка, уголок, бирка, флажок, постер, в чемодане"
Одеяло;"""Лебяжий пух""";"AlViTek (АльВиТек)";Россия;Стандарт;ОСЛП-О-22;200х220;Легкое;;;;;;;"Искусственный ""Лебяжий пух""";;;"200 гр/кв.м";;;Тик;"100% хлопок";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048005897;;"Голубой с перьями";;;"Тональность изделия может отличаться от фото";;;;;;"ОСЛП-О-22  Одеяло 200х220  ""Лебяжий пух""  легкое";16;1992;2990;http://alvitek.com.ru/upload/iblock/0ca/0caabf4038fbf6b06aea26a37f22ce4b.jpeg;"одеяло с наполнителем - ""Лебяжий пух"" (сверхтонкое полое  извитое высокосиликонизированное микроволокно)-200 г/кв.м, чехол (хлопок 100%)- ткань тик (голубой с перьями) , косая бейка, уголок, бирка, флажок, постер, в чемодане"
;;;;;ПР-СО-Р-200-ЧР;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925580876;;;;;;;;;;;"ПР-СО-Р-200-ЧР Чайная Роза простыня Сатин однотонный на резинке 200х200х25";5;954;1435;http://alvitek.com.ru/upload/iblock/250/2501fbfc1c8001bf3143da0d8e83ca01.jpeg;"Простыня на резинке. Ткань-100% хлопок(сатин), резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
Подушка;Бамбук;"AlViTek (АльВиТек)";Россия;Стандарт;ПСБД-4060;40х60;;Мягкая;;;;;;"Бамбуковое волокно,пэ";;;;;;Перкаль;"100% хлопок";;;;;;"Кант атласный";Пакет;;;;;4607048006269;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;;"ПСБД-4060 Подушка ""Бамбук"" 40х60";12;222;340;http://alvitek.com.ru/upload/iblock/3fc/3fccf1a139861b62605abb0414ae0e22.jpeg;"подушка с отстрочкой: с наполнителем из бамбукового волокна 400 г/кв.м, чехол (100% хлопок) - сатин или перкаль, кант атласный, бирка, постер, сумка"
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-20-553*;Двуспальное;;;"70х70 (2шт.)";175х215;215х220;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925574431;;;;;"Тональность изделия может отличаться от фото";;;;;;"553* КПБ 2сп (5) ""Экзотика"" Поплин";3;1042;1460;http://alvitek.com.ru/upload/iblock/1c9/1c94202677a661aed20518203e800ca3.jpeg;
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-20-602;Двуспальное;;;"70х70 (2шт.)";175х215;215х220;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925574455;;;;;"Тональность изделия может отличаться от фото";;;;;;"602 КПБ 2сп (5) ""Экзотика"" Поплин";2;1042;1460;http://alvitek.com.ru/upload/iblock/311/31131884b932b026e314bd8d0a73108f.jpeg;
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-20-Анна*;Двуспальное;;;"70х70 (2шт.)";175х215;215х220;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925574479;;;;;"Тональность изделия может отличаться от фото";;;;;;"Анна* КПБ 2сп (5) ""Экзотика"" Поплин";8;1042;1460;http://alvitek.com.ru/upload/iblock/3db/3dbe999fd94f90e39b57412356c3885b.jpeg;
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-22-Мила*;Евро;;;"70х70 (2шт.)";205х220;220х240;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925574578;;;;;"Тональность изделия может отличаться от фото";;;;;;"Милла* КПБ евро (5) ""Экзотика"" Поплин";2;1193;1675;http://alvitek.com.ru/upload/iblock/a5a/a5a29fee1dcf1f98bc998541fd3771d3.jpeg;"Комплект постельного белья ""Экзотика"", 100 % хлопок - БЯЗЬ импортная"
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-22-Ева;Евро;;;"70х70 (2шт.)";205х220;220х240;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925574554;;;;;"Тональность изделия может отличаться от фото";;;;;;"Ева КПБ евро (5) ""Экзотика"" Поплин";4;1193;1675;http://alvitek.com.ru/upload/iblock/912/91299f9f33d81d5e789cf9e78bea81c4.jpeg;"Комплект постельного белья ""Экзотика"", 100 % хлопок - БЯЗЬ импортная"
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-22-Анна*;Евро;;;"70х70 (2шт.)";205х220;220х240;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925574547;;;;;"Тональность изделия может отличаться от фото";;;;;;"Анна* КПБ евро (5) ""Экзотика"" Бязь";3;1193;1675;http://alvitek.com.ru/upload/iblock/d1a/d1a4a6b83693eb4f4f01d3ac478df91e.jpeg;"Комплект постельного белья ""Экзотика"", 100 % хлопок - БЯЗЬ импортная"
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-22-Куршавель*;Евро;;;"70х70 (2шт.)";205х220;220х240;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925574561;;;;;"Тональность изделия может отличаться от фото";;;;;;"Куршавель* КПБ евро (5) ""Экзотика"" Поплин";1;1193;1675;http://alvitek.com.ru/upload/iblock/465/4652383e738f9e1d6deaafa32b1f1578.jpeg;"Комплект постельного белья ""Экзотика"", 100 % хлопок - БЯЗЬ импортная"
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-22-582;Евро;;;"70х70 (2шт.)";205х220;220х240;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925574523;;;;;"Тональность изделия может отличаться от фото";;;;;;"582 КПБ евро (5) ""Экзотика"" Поплин";1;1193;0;http://alvitek.com.ru/upload/iblock/d07/d075c20780508bb7cd641bfd6c972bd7.jpeg;"Комплект постельного белья ""Экзотика"", 100 % хлопок - БЯЗЬ импортная"
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-22-570*;Евро;;;"70х70 (2шт.)";205х220;220х240;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925574516;;;;;"Тональность изделия может отличаться от фото";;;;;;"570* КПБ евро (5) ""Экзотика"" Поплин";2;1193;0;http://alvitek.com.ru/upload/iblock/b08/b083480497b47d17217f5f6bc775c7c6.jpeg;"Комплект постельного белья ""Экзотика"", 100 % хлопок - БЯЗЬ импортная"
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-семья-Анна*;"Семейное (2 пододеяльника)";;;"70х70 (2шт.)";143х215-2шт.;215х240;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925574653;;;;;"Тональность изделия может отличаться от фото";;;;;;"Анна* КПБ Семья (5) ""Экзотика"" Поплин";3;1450;0;http://alvitek.com.ru/upload/iblock/454/454222a9b6ec165fb1d8eb4d774bf113.jpeg;
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-семья-600;"Семейное (2 пододеяльника)";;;"70х70 (2шт.)";143х215-2шт.;215х240;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925574622;;;;;"Тональность изделия может отличаться от фото";;;;;;"600 КПБ Семья (5) ""Экзотика"" Поплин";3;1450;0;http://alvitek.com.ru/upload/iblock/8b4/8b4a156ae3953e8be200c403539418b2.jpeg;
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-семья-Техно;"Семейное (2 пододеяльника)";;;"70х70 (2шт.)";143х215-2шт.;215х240;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925574677;;;;;"Тональность изделия может отличаться от фото";;;;;;"Техно КПБ Семья (5) ""Экзотика"" Поплин";2;1450;0;http://alvitek.com.ru/upload/iblock/837/8372df4ae5c852b6e314a0cd18cce7ce.jpeg;
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-семья-Лизетта;"Семейное (2 пододеяльника)";;;"70х70 (2шт.)";143х215-2шт.;215х240;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925574660;;;;;"Тональность изделия может отличаться от фото";;;;;;"Лизетта КПБ Семья (5) ""Экзотика"" Поплин";4;1450;0;http://alvitek.com.ru/upload/iblock/cfc/cfc52c4aebacf4c5481c05ee582e3c55.jpeg;
"Комплект постельного белья";;"AlViTek (АльВиТек)";;;АльВиТек-CA-6-156;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;"70х70(2шт)-молния+50х70(2шт) ушки-запах";Молния;;;;"Прямоугольная ПВХ";;;;;2000925576091;;;;;"Тональность изделия может отличаться от фото";;;;Пигментная;;"CA-6-156 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";3;2106;3160;http://alvitek.com.ru/upload/iblock/ebe/ebebf012942b4e27dda1fabd4130ca5c.jpeg;
"Комплект постельного белья";;"AlViTek (АльВиТек)";;;АльВиТек-CA-6-157;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;"70х70(2шт)-молния+50х70(2шт) ушки-запах";Молния;;;;"Прямоугольная ПВХ";;;;;2000925576107;;;;;"Тональность изделия может отличаться от фото";;;;Пигментная;;"CA-6-157 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";8;2106;3160;http://alvitek.com.ru/upload/iblock/496/496ece59ddb03ea114bc744e8e457db1.jpeg;
"Комплект постельного белья";;"AlViTek (АльВиТек)";;;АльВиТек-CA-6-158;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;"70х70(2шт)-молния+50х70(2шт) ушки-запах";Молния;;;;"Прямоугольная ПВХ";;;;;2000925576114;;;;;"Тональность изделия может отличаться от фото";;;;Пигментная;;"CA-6-158 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";5;2106;3160;http://alvitek.com.ru/upload/iblock/4e9/4e93c599a80de69a915d3dba1053460c.jpeg;
"Комплект постельного белья";;"AlViTek (АльВиТек)";;;АльВиТек-CA-6-159;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;"70х70(2шт)-молния+50х70(2шт) ушки-запах";Молния;;;;"Прямоугольная ПВХ";;;;;2000925576121;;;;;"Тональность изделия может отличаться от фото";;;;Пигментная;;"CA-6-159 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";9;2106;3160;http://alvitek.com.ru/upload/iblock/899/899d197977d6780241ea648662883347.jpeg;
"Комплект постельного белья";;"AlViTek (АльВиТек)";;;АльВиТек-CA-6-160;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;"70х70(2шт)-молния+50х70(2шт) ушки-запах";Молния;;;;"Прямоугольная ПВХ";;;;;2000925576138;;;;;"Тональность изделия может отличаться от фото";;;;Пигментная;;"CA-6-160 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";13;2106;3160;http://alvitek.com.ru/upload/iblock/387/387315db8cd55319a036fc53679afd92.jpeg;
"Комплект постельного белья";;"AlViTek (АльВиТек)";;;АльВиТек-CA-6-161;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;"70х70(2шт)-молния+50х70(2шт) ушки-запах";Молния;;;;"Прямоугольная ПВХ";;;;;2000925576145;;;;;"Тональность изделия может отличаться от фото";;;;Пигментная;;"CA-6-161 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";11;2106;3160;http://alvitek.com.ru/upload/iblock/38e/38e11c44ef0bf94164e256c166d32d8d.jpeg;
"Комплект постельного белья";;"AlViTek (АльВиТек)";;;АльВиТек-CA-6-162;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;"70х70(2шт)-молния+50х70(2шт) ушки-запах";Молния;;;;"Прямоугольная ПВХ";;;;;2000925576152;;;;;"Тональность изделия может отличаться от фото";;;;Пигментная;;"CA-6-162 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";7;2106;3160;http://alvitek.com.ru/upload/iblock/927/927c00e02c9bb5e169c2ce9a51fcca9c.jpeg;
"Комплект постельного белья";;"AlViTek (АльВиТек)";;;АльВиТек-CA-6-163;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;"70х70(2шт)-молния+50х70(2шт) ушки-запах";Молния;;;;"Прямоугольная ПВХ";;;;;2000925576169;;;;;"Тональность изделия может отличаться от фото";;;;Пигментная;;"CA-6-163 КПБ Евро Сатин печатный + нав-ки ( 70х70х2шт+50х70х2шт )  ""АльВиТек""";12;2106;3160;http://alvitek.com.ru/upload/iblock/592/592b1f1cc524630028d72d78bdd259d4.jpeg;
"Простыня на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-Р-120;120х200+20;;;;;;"На резинке";;;;;;;;Бязь;"70% хлопок/30% полиэстр";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048005118;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;;"ПР-Р-120 Простыня на резинке 120х200 ткань бязь";19;468;705;http://alvitek.com.ru/upload/iblock/f24/f24d5e5476925db92f4c3a5048dac148.jpeg;"ткань-бязь, бирка, постер, пакет"
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-22-580;Евро;;;"70х70 (2шт.)";205х220;220х240;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925563558;;;;;"Тональность изделия может отличаться от фото";;;;;;"580 КПБ евро (5) ""Экзотика"" Поплин";5;1193;0;http://alvitek.com.ru/upload/iblock/c28/c28bc08bc754eb61f705e995998dff54.jpeg;"Комплект постельного белья ""Экзотика"", 100 % хлопок - БЯЗЬ импортная"
Подушка;"Sheep wool";"AlViTek (АльВиТек)";Россия;Комфорт;ПШС-04060;40х60;;Средняя;;;;;;;"Овечья шерсть,пэ";"Искуственный ""Лебяжий пух""";;"100 гр/кв.м";"0,35 кг";Полисатин;"100%  пэ";;;;;"Многоигольная машина";;Пакет;;;;;4607048013199;;Кремовый;;;"Тональность изделия может отличаться от фото";;;;;;"ПШС-04060 Подушка ""Sheep wool"" 40х60";1;133;205;http://alvitek.com.ru/upload/iblock/080/080282131572e094f9a5167195191244.jpeg;"подушка: стеганный чехол (наполнитель овечья шерсть 100 г/кв.м, ткань - полисатин), наполнитель ""Лебяжий пух"" ( 0,35 кг высокосиликонизированное микроволокно),бирка, постер, в пакете"
Наматрасник;Холфит;"AlViTek (АльВиТек)";Россия;;НФ-180;180х200;;;;;;;;Холфит-пласт;;;"200 гр/кв.м";;;Полисатин;"100%  пэ";;;;Резинка;"Многоигольная машина";"Бейка ПЭ";"Пакет с ручкой";;;;;4607048003916;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;;"НФ-180  Наматрасник с резинкой ""Холфит-Традиция"" 180х200";6;570;865;http://alvitek.com.ru/upload/iblock/70e/70e52e7d3f04506d5c50befc18621d1c.jpeg;"наматрасник на резинке с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 200 г./кв.м), чехол - ткань 100% ПЭ, окантовка- бейка ПЭ, бирка, постер, в чемодане"
"Набор полотенец";;"TWO DOLPHINS";Турция;;"TWO DOLPHINS-10158-баклаж";50х90+70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925560199;;;;;"Тональность изделия может отличаться от фото";;;;;;"10158 Баклажан  ELISA махра (50х90+70х140 ) Набор полотенец  в коробке TWO DOLPHINS";1;705;0;http://alvitek.com.ru/upload/iblock/655/65552cc907c3a3ab7889989adc3597de.jpeg;
"Набор полотенец";;MERZUKA;Турция;;MERZUKA-10165-серый;50х90+70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925560175;;;;;"Тональность изделия может отличаться от фото";;;;;;"10165 Серый ELEGANT  (50х90+70х140 ) в коробке Набор полотенец MERZUKA";1;705;0;http://alvitek.com.ru/upload/iblock/d81/d81f0f21de4914b0d583ca5b5f8f5aef.jpeg;
"Набор полотенец";;MERZUKA;Турция;;MERZUKA-9330-лиловый;50х80+70х130;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925560311;;;;;"Тональность изделия может отличаться от фото";;;;;;"9330  Лиловый ROSE   (50х80+70х130 ) в коробке Набор полотенец MERZUKA";8;691;0;http://alvitek.com.ru/upload/iblock/bfc/bfcb9f5515df6825e33039c8f6a07a30.jpeg;
"Набор полотенец";;MERZUKA;Турция;;MERZUKA-9330-розовый;50х80+70х130;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925560328;;;;;"Тональность изделия может отличаться от фото";;;;;;"9330  Розовый ROSE   (50х80+70х130 ) в коробке Набор полотенец MERZUKA";1;705;0;http://alvitek.com.ru/upload/iblock/5d8/5d8d43b2f5df59e5aaa3b53af3bbb5bc.jpeg;
Полотенце;;"TWO DOLPHINS";Турция;;"TWO DOLPHINS-10207";50х90;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000925559827;;;;;"Тональность изделия может отличаться от фото";;;;;;"10207 ERIN  Хлопок 50х90 (6) 480гр. полотенце TWO DOLPHINS";3;979;0;http://alvitek.com.ru/upload/iblock/26a/26a3607f9ed07ae7f2eac7e04da542e3.jpeg;
Полотенце;;"TWO DOLPHINS";Турция;;"TWO DOLPHINS-10208";70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000925559896;;;;;"Тональность изделия может отличаться от фото";;;;;;"10208 ERIN  Хлопок 70х140 (6) 480гр. полотенце TWO DOLPHINS";4;2073;0;http://alvitek.com.ru/upload/iblock/dc2/dc2ed4eb6078dec313f4c47f72724330.jpeg;
Полотенце;;"TWO DOLPHINS";Турция;;"TWO DOLPHINS-10213";50х90;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000925559834;;;;;"Тональность изделия может отличаться от фото";;;;;;"10213  AHSEN  Хлопок 50х90 (6) 480гр. полотенце TWO DOLPHINS";1;979;0;http://alvitek.com.ru/upload/iblock/96c/96cdd9f79551532b464418487c1720d5.jpeg;
Полотенце;;"TWO DOLPHINS";Турция;;"TWO DOLPHINS-10214";70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000925559902;;;;;"Тональность изделия может отличаться от фото";;;;;;"10214 AHSEN  Хлопок 70х140 (6) 480гр. полотенце TWO DOLPHINS";1;2073;0;http://alvitek.com.ru/upload/iblock/ac4/ac47eb3be771197351a348ca2e6f8016.jpeg;
Полотенце;;"TWO DOLPHINS";Турция;;"TWO DOLPHINS-9760";70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000925559957;;;;;"Тональность изделия может отличаться от фото";;;;;;"9760 FLORIDA  Хлопок 70х140 (6) 480гр. полотенце TWO DOLPHINS";5;2073;0;http://alvitek.com.ru/upload/iblock/60e/60e364a9af79e10538f3238c93d59a19.jpeg;
Полотенце;;"TWO DOLPHINS";Турция;;"TWO DOLPHINS-9748";50х90;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000925559889;;;;;"Тональность изделия может отличаться от фото";;;;;;"9748 FLORIDA Хлопок 50х90 (6) 480гр. полотенце TWO DOLPHINS";5;979;0;http://alvitek.com.ru/upload/iblock/340/340b567afbd8636e25677d98759351b2.jpeg;
Полотенце;;"TWO DOLPHINS";Турция;;"TWO DOLPHINS-8452";50х90;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;"Прямоугольная ПВХ на молнии";;"6 шт.";;480г/м;2000925559858;;;;;"Тональность изделия может отличаться от фото";;;;;;"8452 GREEK  Хлопок 50х90 (6) 480гр. полотенце TWO DOLPHINS";1;999;0;http://alvitek.com.ru/upload/iblock/fb7/fb7ff979cb6846863309a53dc10e8410.jpeg;
