sku,title,desc,quantity,cost-price,price,image,col,vendor,country,line,SV_razmer,teplota,podderjka,razm_nav,razm_podod,razmer_prostini,tip_prostini,visota,napolnitel,napolnitel_chehla,napolnitel_yadra,ves_napolnitel,ves_nopolnitel_chehla,ves_napolnitel_yadra,tkan,sostav_tkan,tip_zast,tip_zast_navol,tip_zast_podod,tip_krepl,tip_stejki,okantovka,upak,tip_upak,kol_upak,material,plotnost,barcode,SV_cvet,tkan_verh,tkan_niz,sostav,Kornevai
Метеор -11001,11001 PIETRA LAVANTA В  (40х60)х3шт в коробке Набор кухонный Метеор,"",1,441.0,661.5,http://alvitek.com.ru/upload/iblock/0d5/0d5138083679d92c2fbcf258af5d78e0.jpeg,"",Метеор Текстиль,Турция,"",40х60,"","","","","","","","","","","","","",Вафля,100% хлопок,"","","","","","",Коробка,"",3 шт.,"","",2000925592336,"","","","",Alvitek
Метеор -11002,11002 PIETRA ZEYITIN В  (40х60)х3шт в коробке Набор кухонный Метеор,"",5,380.0,570.0,http://alvitek.com.ru/upload/iblock/eab/eabf6548cd305017bbe3631c46e63399.jpeg,"",Метеор Текстиль,Турция,"",40х60,"","","","","","","","","","","","","",Вафля,100% хлопок,"","","","","","",Коробка,"",3 шт.,"","",2000925592350,"","","","",Alvitek
Метеор -11003,11003 PIETRA MEYVE В  (40х60)х3шт в коробке Набор кухонный Метеор,"",1,347.0,520.5,http://alvitek.com.ru/upload/iblock/5fc/5fcc718ad250d9cca3d20fc501f788a7.jpeg,"",Метеор Текстиль,Турция,"",40х60,"","","","","","","","","","","","","",Вафля,100% хлопок,"","","","","","",Коробка,"",3 шт.,"","",2000925592343,"","","","",Alvitek
Метеор -9642,9642 КОФЕ МВ  (30х50)х2шт в коробке Набор кухонный Метеор,"",1,249.0,373.5,http://alvitek.com.ru/upload/iblock/550/5508ef908fc66f1d41db0629c3075bae.jpeg,"",Метеор Текстиль,Турция,"",30х50,"","","","","","","","","","","","","",Махра-Вафля,100% хлопок,"","","","","","",Коробка,"",2 шт.,"","",2000925539072,"","","","",Alvitek
MERZUKA-9807-серый,9807 Серый  BOSS махра (50х90+70х130 ) в коробке Набор полотенец MERZUKA,"",3,798.0,1197.0,http://alvitek.com.ru/upload/iblock/634/6349860a77e87e7506bb8cff6fbcaf59.jpeg,"",MERZUKA,Турция,"",50х80+70х130,"","","","","","","","","","","","","",Махра,100% хлопок,"","","","","","",Коробка,"",2 шт.,"","",2000925544410,"","","","",Alvitek
MERZUKA-9807- синий,9807 Синий  BOSS махра (50х90+70х130 ) в коробке Набор полотенец MERZUKA,"",1,798.0,1197.0,http://alvitek.com.ru/upload/iblock/6f0/6f0af87c0cdfdc61a459aaab570847ab.jpeg,"",MERZUKA,Турция,"",50х80+70х130,"","","","","","","","","","","","","",Махра,100% хлопок,"","","","","","",Коробка,"",2 шт.,"","",2000925544427,"","","","",Alvitek
MERZUKA-9807-т. гол,9807 Темно-голубой  BOSS махра (50х90+70х130 ) в коробке Набор полотенец MERZUKA,"",1,798.0,1197.0,http://alvitek.com.ru/upload/iblock/55a/55a171b320062effc558d957687dd83c.jpeg,"",MERZUKA,Турция,"",50х80+70х130,"","","","","","","","","","","","","",Махра,100% хлопок,"","","","","","",Коробка,"",2 шт.,"","",2000925544434,"","","","",Alvitek
Al-SOFT PLUSH-150/018-sp,150/018-sp SOFT PLUSH 150х200 акриловая микрофибра Плед  AlViTek,"",7,1279.0,1918.5,http://alvitek.com.ru/upload/iblock/104/104a884a2d6b025c62c02e3167d847fd.jpeg,"",AlViTek (АльВиТек),Россия,"",150х200,"","","","","","","","","","","","","",Велсофт,"","","","","","","",Сумка с металлическим каркасом,"","","",320г/м,2000925577487,"","","",100% микрофибра,Alvitek
TWO DOLPHINS-8560,8560 AKNA  Хлопок 70х140 (6) 480гр. полотенце TWO DOLPHINS,"",1,2593.0,3889.5,http://alvitek.com.ru/upload/iblock/db6/db65efeaed1a42fc32d99adf0a035a7a.jpeg,"",TWO DOLPHINS,Турция,"",70х140,"","","","","","","","","","","","","",Махра,100% хлопок,"","","","","","",Прямоугольная ПВХ на молнии,"",6 шт.,"",480г/м,2000925566566,"","","","",Alvitek
Э-Б5-семья-Нежность,"Нежность КПБ Семья (5) ""Экзотика"" Поплин","",1,1794.0,2691.0,http://alvitek.com.ru/upload/iblock/1a8/1a8164b4df3b28b23a9c8e4c2456b3e6.jpeg,"",Экзотика,Россия,"",Семейное (2 пододеяльника),"","",70х70 (2шт.),143х215-2шт.,215х240,Обычная,"","","","","","","",Поплин,100% хлопок,Прорезь(запах),"","","","","",Прямоугольная ПВХ,"","","","",2000925515717,"","","","",Alvitek
ПОК-66/15,"ПОК-66/15 Покрывало ""Гобелен"" 143х205",покрывало гобелен,11,434.0,651.0,http://alvitek.com.ru/upload/iblock/e76/e762d2c8839dcdc280812799b88d0168.jpeg,Гобелен,AlViTek (АльВиТек),Россия,"",143х205,"","","","","","","","","","","","","","",50% хлопок/50% полиэстр,"","","","","","",Пакет,"","","",280г/м,2000925592626,"","","","",Alvitek
ПОК-67/15,"ПОК-67/15 Покрывало ""Гобелен"" 143х205",покрывало гобелен,1,478.0,717.0,http://alvitek.com.ru/upload/iblock/022/0227e6ce70df568bcaf08f9461215fa5.jpeg,Гобелен,AlViTek (АльВиТек),Россия,"",143х205,"","","","","","","","","","","","","","",50% хлопок/50% полиэстр,"","","","","","",Пакет,"","","",280г/м,2000925592633,"","","","",Alvitek
ПОК-68/15,"ПОК-68/15 Покрывало ""Гобелен"" 143х205",покрывало гобелен,2,419.0,628.5,http://alvitek.com.ru/upload/iblock/781/7819a03ec2fd8eb718170d721b5250d7.jpeg,Гобелен,AlViTek (АльВиТек),Россия,"",143х205,"","","","","","","","","","","","","","",50% хлопок/50% полиэстр,"","","","","","",Пакет,"","","",280г/м,2000925592640,"","","","",Alvitek
ПОК-66/22,"ПОК-66/22 Покрывало ""Гобелен"" 190х220",покрывало гобелен,5,741.0,1111.5,http://alvitek.com.ru/upload/iblock/140/140bf9983d39e170c5cf92baf5bcbf6c.jpeg,Гобелен,AlViTek (АльВиТек),Россия,"",190х220,"","","","","","","","","","","","","","",50% хлопок/50% полиэстр,"","","","","","",Пакет,"","","",280г/м,2000925592664,"","","","",Alvitek
ПОК-67/22,"ПОК-67/22 Покрывало ""Гобелен"" 190х220",покрывало гобелен,2,779.0,1168.5,http://alvitek.com.ru/upload/iblock/164/1646d5615ebbce6b2d825896a3636779.jpeg,Гобелен,AlViTek (АльВиТек),Россия,"",190х220,"","","","","","","","","","","","","","",50% хлопок/50% полиэстр,"","","","","","",Пакет,"","","",280г/м,2000925592671,"","","","",Alvitek
ПОК-69/22,"ПОК-69/22 Покрывало ""Гобелен"" 190х220",покрывало гобелен,1,673.0,1009.5,http://alvitek.com.ru/upload/iblock/6e7/6e743ff6629d3c9eba1b23d4b74f6b6d.jpeg,Гобелен,AlViTek (АльВиТек),Россия,"",190х220,"","","","","","","","","","","","","","",50% хлопок/50% полиэстр,"","","","","","",Пакет,"","","",280г/м,2000925592695,"","","","",Alvitek
СГ- 239G1,239G1 Розы Махра 68х135 (8 ) Полотенце  Северный город,"",1,1651.0,2476.5,http://alvitek.com.ru/upload/iblock/c0a/c0a201f20e8cea732bd52e1520e4ae9a.jpeg,"",Северный Город,Китай,"",68х135,"","","","","","","","","","","","","",Махра,"","","","","","","",Пакет,"",8 шт.,"","",2000925592794,"","","",100% хлопок,Alvitek
СГ- 239G2,239G2 Розы Махра 50х90 (8 Полотенце  Северный город,"",1,822.0,1233.0,http://alvitek.com.ru/upload/iblock/a31/a31c8fcd557f335d872eb171c28621f5.jpeg,"",Северный Город,Китай,"",50х90,"","","","","","","","","","","","","",Махра,"","","","","","","",Пакет,"",8 шт.,"","",2000925592800,"","","",100% хлопок,Alvitek
СГ-YSA4,YSA4 Весенние цветы Прессованное 28х56 (5) Северный Город,"",5,173.0,259.5,http://alvitek.com.ru/upload/iblock/456/4566373a4178748afdd0aa6c773819ab.jpeg,"",Северный Город,Китай,"",28х56,"","","","","","","","","","","","","",Махра-велюр,"","","","","","","",Пакет,"",5 шт.,"","",2000925592701,"","","",100% хлопок,Alvitek
Н-Т-50-БЕЖ,Н-Т-50-БЕЖ Бежевая наволочка на молнии ткань трикотаж 2шт.-50х70,"ткань- сатин (хлопок 100%), бирка, постер, пакет",3,387.0,580.5,http://alvitek.com.ru/upload/iblock/9b0/9b0a069765439b8a71ac68d005b098d4.jpeg,"",AlViTek (АльВиТек),Россия,"",50х70,"","","","","","","","","","","","","",Трикотаж,"","",Молния,"","","","",Пакет ПВХ,"",2 шт.,"","",2000925553467,Бежевый,"","",100% хлопок,Alvitek
А-20-168,"A-168 КПБ 2 сп поплин ""САЙЛИД""","",1,2376.0,3564.0,http://alvitek.com.ru/upload/iblock/7e4/7e40229084c32f65fdf0bba529a31c1f.jpeg,"",СайлиД,Китай,"",Двуспальное,"","",70х70 (2шт.),180х215,200х215,Обычная,"","","","","","","",Поплин,100% хлопок,"",Прорезь(запах),Молния,"","","",Прямоугольная ПВХ,"","","","",2000925499840,"","","","",Alvitek
А-24-168,"A-168 КПБ семейный поплин ""САЙЛИД""","",1,2529.0,3793.5,http://alvitek.com.ru/upload/iblock/952/95266a67bcf54f4d2ec3b5ebbf0df347.jpeg,"",СайлиД,Китай,"",Семейное (2 пододеяльника),"","",70х70 (2шт.),150х215-2шт.,220х250,Обычная,"","","","","","","",Поплин,100% хлопок,"",Прорезь(запах),Молния,"","","",Прямоугольная ПВХ,"","","","",2000925542508,"","","","",Alvitek
А-15-169,"A-169 КПБ 1,5 сп поплин ""САЙЛИД""","",1,1656.0,2484.0,http://alvitek.com.ru/upload/iblock/bae/baec77b738dc637c12757d2494d34b65.jpeg,"",СайлиД,Китай,"",Полутороспальное,"","",70х70 (2шт.),150х215,150х215,Обычная,"","","","","","","",Поплин,100% хлопок,"",Прорезь(запах),Молния,"","","",Прямоугольная ПВХ,"","","","",2000925499727,"","","","",Alvitek
А-15-172(2),"A-172(2) КПБ 1,5 сп поплин ""САЙЛИД""","",1,1505.0,2257.5,http://alvitek.com.ru/upload/iblock/7ff/7ff3f7dd024aa20fc1b4e15c631c2630.jpeg,"",СайлиД,Китай,"",Полутороспальное,"","",70х70 (2шт.),150х215,150х215,Обычная,"","","","","","","",Поплин,100% хлопок,"",Прорезь(запах),Молния,"","","",Прямоугольная ПВХ,"","","","",2000925499758,"","","","",Alvitek
А-20-173(2),"A-173(2) КПБ 2 сп поплин ""САЙЛИД""","",1,1784.0,2676.0,http://alvitek.com.ru/upload/iblock/6d3/6d3a8d1d2c7dc16006a9fae837a94085.jpeg,"",СайлиД,Китай,"",Двуспальное,"","",70х70 (2шт.),180х215,200х215,Обычная,"","","","","","","",Поплин,100% хлопок,"",Прорезь(запах),Молния,"","","",Прямоугольная ПВХ,"","","","",2000925499871,"","","","",Alvitek
А-22-175,"A-175 КПБ евро поплин ""САЙЛИД""","",1,2269.0,3403.5,http://alvitek.com.ru/upload/iblock/a0f/a0fad7d104ca535af5bd4ab3a1a96699.jpeg,"",СайлиД,Китай,"",Евро,"","",70х70 (2шт.),200х220,220х240,Обычная,"","","","","","","",Поплин,100% хлопок,"",Прорезь(запах),Молния,"","","",Прямоугольная ПВХ,"","","","",2000925522258,"","","","",Alvitek
А-15-176,"A-176 КПБ 1,5 сп поплин ""САЙЛИД""","",1,1505.0,2257.5,http://alvitek.com.ru/upload/iblock/b7f/b7f4c3b295f7d4da9d190ba16cecf58b.jpeg,"",СайлиД,Китай,"",Полутороспальное,"","",70х70 (2шт.),150х215,150х215,Обычная,"","","","","","","",Поплин,100% хлопок,"",Прорезь(запах),Молния,"","","",Прямоугольная ПВХ,"","","","",2000925522166,"","","","",Alvitek
А-22-176,"A-176 КПБ евро поплин ""САЙЛИД""","",1,2062.0,3093.0,http://alvitek.com.ru/upload/iblock/4d5/4d5b34bdca9383acc32fc13db3513295.jpeg,"",СайлиД,Китай,"",Евро,"","",70х70 (2шт.),200х220,220х240,Обычная,"","","","","","","",Поплин,100% хлопок,"",Прорезь(запах),Молния,"","","",Прямоугольная ПВХ,"","","","",2000925522265,"","","","",Alvitek
А-22-185,"A-185 КПБ евро поплин ""САЙЛИД""","",1,2269.0,3403.5,http://alvitek.com.ru/upload/iblock/ffa/ffa3ab0b15166573e46ec5a02ba7b8ed.jpeg,"",СайлиД,Китай,"",Евро,"","",70х70 (2шт.),200х220,220х240,Обычная,"","","","","","","",Поплин,100% хлопок,"",Прорезь(запах),Молния,"","","",Прямоугольная ПВХ,"","","","",2000925580142,"","","","",Alvitek
А-22-187,"A-187 КПБ евро поплин ""САЙЛИД""","",1,2269.0,3403.5,http://alvitek.com.ru/upload/iblock/1b5/1b5c8834754bd7003d3d1d8a79c37b0d.jpeg,"",СайлиД,Китай,"",Евро,"","",70х70 (2шт.),200х220,220х240,Обычная,"","","","","","","",Поплин,100% хлопок,"",Прорезь(запах),Молния,"","","",Прямоугольная ПВХ,"","","","",2000925580166,"","","","",Alvitek
В-22-174,"B-174 КПБ евро сатин ""САЙЛИД""","",1,3379.0,5068.5,http://alvitek.com.ru/upload/iblock/e0b/e0b91716ebb2643ca7072182dd006fc5.jpeg,"",СайлиД,Китай,"",Евро,"","",50х70 (2шт.)+70х70 (2шт.),200х220,230х250,Обычная,"","","","","","","",Сатин,100% хлопок,"",Прорезь(запах),Молния,"","","",Квадратная ПВХ,"","","","",2000925522500,"","","","",Alvitek
В-22-177,"B-177 КПБ евро сатин ""САЙЛИД""","",2,3379.0,5068.5,http://alvitek.com.ru/upload/iblock/16d/16d2e7a93b97c4ed0dbf58fefeac37bc.jpeg,"",СайлиД,Китай,"",Евро,"","",50х70 (2шт.)+70х70 (2шт.),200х220,230х250,Обычная,"","","","","","","",Сатин,100% хлопок,"",Прорезь(запах),Молния,"","","",Квадратная ПВХ,"","","","",2000925522524,"","","","",Alvitek
B-15-182,"B-182 КПБ 1,5сп сатин ""САЙЛИД""","",1,2782.0,4173.0,http://alvitek.com.ru/upload/iblock/bde/bde5bd0d1a9f68448ba1e7c9f0e65735.jpeg,"",СайлиД,Китай,"",Полутороспальное,"","",70х70 (2шт.),150х215,160х220,Обычная,"","","","","","","",Сатин,100% хлопок,"",Прорезь(запах),Молния,"","","",Квадратная ПВХ,"","","","",2000925537146,"","","","",Alvitek
В-22-183,"B-183 КПБ евро сатин ""САЙЛИД""","",1,3379.0,5068.5,http://alvitek.com.ru/upload/iblock/a33/a33fcc969a1f63e56de40c5c122e218f.jpeg,"",СайлиД,Китай,"",Евро,"","",50х70 (2шт.)+70х70 (2шт.),200х220,230х250,Обычная,"","","","","","","",Сатин,100% хлопок,"",Прорезь(запах),Молния,"","","",Квадратная ПВХ,"","","","",2000925530604,"","","","",Alvitek
В-26-183,"B-183 КПБ семейный сатин ""САЙЛИД""","",1,3977.0,5965.5,http://alvitek.com.ru/upload/iblock/269/269f84e06147236a00ec670b4358a61b.jpeg,"",СайлиД,Китай,"",Семейное (2 пододеяльника),"","",50х70 (2шт.)+70х70 (2шт.),150х215-2шт.,250х250,Обычная,"","","","","","","",Сатин,100% хлопок,"",Прорезь(запах),Молния,"","","",Квадратная ПВХ,"","","","",2000925530659,"","","","",Alvitek
B-15-190,"B-190 КПБ 1,5сп сатин ""САЙЛИД""","",1,2299.0,3448.5,http://alvitek.com.ru/upload/iblock/a45/a455e8ed7327e103289d509d4ae2fb59.jpeg,"",СайлиД,Китай,"",Полутороспальное,"","",70х70 (2шт.),150х215,160х220,Обычная,"","","","","","","",Сатин,100% хлопок,"",Прорезь(запах),Молния,"","","",Квадратная ПВХ,"","","","",2000925580333,"","","","",Alvitek
В-22-190,"B-190 КПБ евро сатин ""САЙЛИД""","",2,4089.0,6133.5,http://alvitek.com.ru/upload/iblock/dac/dac97d2cbb9632d4c41c622a81bf2c0e.jpeg,"",СайлиД,Китай,"",Евро,"","",50х70 (2шт.)+70х70 (2шт.),200х220,230х250,Обычная,"","","","","","","",Сатин,100% хлопок,"",Прорезь(запах),Молния,"","","",Квадратная ПВХ,"","","","",2000925580555,"","","","",Alvitek
В-26-190,"B-190 КПБ семейный сатин ""САЙЛИД""","",1,3977.0,5965.5,http://alvitek.com.ru/upload/iblock/45c/45c6bd75d4ead5c0cc0d8ca4186b0d54.jpeg,"",СайлиД,Китай,"",Семейное (2 пододеяльника),"","",50х70 (2шт.)+70х70 (2шт.),150х215-2шт.,250х250,Обычная,"","","","","","","",Сатин,100% хлопок,"",Прорезь(запах),Молния,"","","",Квадратная ПВХ,"","","","",2000925580661,"","","","",Alvitek
B-15-191,"B-191 КПБ 1,5сп сатин ""САЙЛИД""","",2,2090.0,3135.0,http://alvitek.com.ru/upload/iblock/c30/c30265380094a3c92d1fe9442a19d90b.jpeg,"",СайлиД,Китай,"",Полутороспальное,"","",70х70 (2шт.),150х215,160х220,Обычная,"","","","","","","",Сатин,100% хлопок,"",Прорезь(запах),Молния,"","","",Квадратная ПВХ,"","","","",2000925580340,"","","","",Alvitek
В-20-191,"B-191 КПБ 2сп сатин ""САЙЛИД""","",1,2724.0,4086.0,http://alvitek.com.ru/upload/iblock/a6e/a6e0b676e783c67e183a8f75b024a478.jpeg,"",СайлиД,Китай,"",Двуспальное,"","",50х70 (2шт.)+70х70 (2шт.),180х215,220х250,Обычная,"","","","","","","",Сатин,100% хлопок,"",Прорезь(запах),Молния,"","","",Квадратная ПВХ,"","","","",2000925580456,"","","","",Alvitek
В-22-191,"B-191 КПБ евро сатин ""САЙЛИД""","",1,3071.0,4606.5,http://alvitek.com.ru/upload/iblock/61c/61c2c6e03e13fa513f0b69d86f698c72.jpeg,"",СайлиД,Китай,"",Евро,"","",50х70 (2шт.)+70х70 (2шт.),200х220,230х250,Обычная,"","","","","","","",Сатин,100% хлопок,"",Прорезь(запах),Молния,"","","",Квадратная ПВХ,"","","","",2000925580562,"","","","",Alvitek
В-20-192,"B-192 КПБ 2сп сатин ""САЙЛИД""","",1,2997.0,4495.5,http://alvitek.com.ru/upload/iblock/568/568bfc299b2fa6a5fdfd600b615530d5.jpeg,"",СайлиД,Китай,"",Двуспальное,"","",50х70 (2шт.)+70х70 (2шт.),180х215,220х250,Обычная,"","","","","","","",Сатин,100% хлопок,"",Прорезь(запах),Молния,"","","",Квадратная ПВХ,"","","","",2000925580463,"","","","",Alvitek
В-22-192,"B-192 КПБ евро сатин ""САЙЛИД""","",1,3379.0,5068.5,http://alvitek.com.ru/upload/iblock/a00/a008282df75f26579506f1ce1103cc98.jpeg,"",СайлиД,Китай,"",Евро,"","",50х70 (2шт.)+70х70 (2шт.),200х220,230х250,Обычная,"","","","","","","",Сатин,100% хлопок,"",Прорезь(запах),Молния,"","","",Квадратная ПВХ,"","","","",2000925580579,"","","","",Alvitek
В-22-193,"B-193 КПБ евро сатин ""САЙЛИД""","",1,3379.0,5068.5,http://alvitek.com.ru/upload/iblock/d47/d4723e6012a5a3898677388f228a22b9.jpeg,"",СайлиД,Китай,"",Евро,"","",50х70 (2шт.)+70х70 (2шт.),200х220,230х250,Обычная,"","","","","","","",Сатин,100% хлопок,"",Прорезь(запах),Молния,"","","",Квадратная ПВХ,"","","","",2000925580586,"","","","",Alvitek
В-22-196,"B-196 КПБ евро сатин ""САЙЛИД""","",1,3379.0,5068.5,http://alvitek.com.ru/upload/iblock/84e/84e1acf10cfa0ab9df7c4fbf58e3d539.jpeg,"",СайлиД,Китай,"",Евро,"","",50х70 (2шт.)+70х70 (2шт.),200х220,230х250,Обычная,"","","","","","","",Сатин,100% хлопок,"",Прорезь(запах),Молния,"","","",Квадратная ПВХ,"","","","",2000925580616,"","","","",Alvitek
В-22-197,"B-197 КПБ евро сатин ""САЙЛИД""","",3,4089.0,6133.5,http://alvitek.com.ru/upload/iblock/0e4/0e4505a29bf15ca436ae2f0cc5ee10f2.jpeg,"",СайлиД,Китай,"",Евро,"","",50х70 (2шт.)+70х70 (2шт.),200х220,230х250,Обычная,"","","","","","","",Сатин,100% хлопок,"",Прорезь(запах),Молния,"","","",Квадратная ПВХ,"","","","",2000925580623,"","","","",Alvitek
В-26-197,"B-197 КПБ семейный сатин ""САЙЛИД""","",1,3977.0,5965.5,http://alvitek.com.ru/upload/iblock/56b/56bbc1b89cd92aec688ef3b581be441c.jpeg,"",СайлиД,Китай,"",Семейное (2 пододеяльника),"","",50х70 (2шт.)+70х70 (2шт.),150х215-2шт.,250х250,Обычная,"","","","","","","",Сатин,100% хлопок,"",Прорезь(запах),Молния,"","","",Квадратная ПВХ,"","","","",2000925580722,"","","","",Alvitek
B-15-198,"B-198 КПБ 1,5сп сатин ""САЙЛИД""","",1,2782.0,4173.0,http://alvitek.com.ru/upload/iblock/19a/19a0c3bdfb59b1df2009da86ed385cc5.jpeg,"",СайлиД,Китай,"",Полутороспальное,"","",70х70 (2шт.),150х215,160х220,Обычная,"","","","","","","",Сатин,100% хлопок,"",Прорезь(запах),Молния,"","","",Квадратная ПВХ,"","","","",2000925580418,"","","","",Alvitek
Э-Б5-15-Сиртаки*,"Сиртаки*  КПБ 1.5 сп (5) ""Экзотика"" Бязь","Комплект постельного белья ""Экзотика"", 100 % хлопок - БЯЗЬ импортная",1,1001.0,1501.5,http://alvitek.com.ru/upload/iblock/7c4/7c4316b11ee92fe29733a953972cfcf2.jpeg,"",Экзотика,Россия,"",Полутороспальное,"","",70х70 (2шт.),143х215,150х215,Обычная,"","","","","","","",Поплин,100% хлопок,Прорезь(запах),"","","","","",Прямоугольная ПВХ,"","","","",2000925592824,"","","","",Alvitek
Э-Б5-20-593*,"593* КПБ 2сп (5) ""Экзотика"" Поплин","",1,1202.0,1803.0,http://alvitek.com.ru/upload/iblock/578/578b52028fadc663c5036f178565d057.jpeg,"",Экзотика,Россия,"",Двуспальное,"","",70х70 (2шт.),175х215,215х220,Обычная,"","","","","","","",Поплин,100% хлопок,Прорезь(запах),"","","","","",Прямоугольная ПВХ,"","","","",2000925592879,"","","","",Alvitek
Э-Б5-20-610*,"610* КПБ 2сп (5) ""Экзотика"" Поплин","",1,1305.0,1957.5,http://alvitek.com.ru/upload/iblock/47a/47ac5fe0208660cbe5dc47de44126ff3.jpeg,"",Экзотика,Россия,"",Двуспальное,"","",70х70 (2шт.),175х215,215х220,Обычная,"","","","","","","",Поплин,100% хлопок,Прорезь(запах),"","","","","",Прямоугольная ПВХ,"","","","",2000925592831,"","","","",Alvitek
Э-Б5-22-Светлана*,"Светлана* КПБ евро (5) ""Экзотика"" Поплин","Комплект постельного белья ""Экзотика"", 100 % хлопок - БЯЗЬ импортная",1,1377.0,2065.5,http://alvitek.com.ru/upload/iblock/1aa/1aa71cae85d817b194f3dffe83814c8d.jpeg,"",Экзотика,Россия,"",Евро,"","",70х70 (2шт.),205х220,220х240,Обычная,"","","","","","","",Поплин,100% хлопок,Прорезь(запах),"","","","","",Прямоугольная ПВХ,"","","","",2000925592909,"","","","",Alvitek
Э-Б5-20-Сиртаки*,"Сиртаки* КПБ 2сп (5) ""Экзотика"" Поплин","",1,1202.0,1803.0,http://alvitek.com.ru/upload/iblock/da9/da97e1accf12c9133f32a89e61911a22.jpeg,"",Экзотика,Россия,"",Двуспальное,"","",70х70 (2шт.),175х215,215х220,Обычная,"","","","","","","",Поплин,100% хлопок,Прорезь(запах),"","","","","",Прямоугольная ПВХ,"","","","",2000925592862,"","","","",Alvitek
Э-Б5-15-354,"354 КПБ 1.5 сп (5) ""Экзотика"" Бязь","Комплект постельного белья ""Экзотика"", 100 % хлопок - БЯЗЬ импортная",1,1113.0,1669.5,http://alvitek.com.ru/upload/iblock/f6f/f6fa4edeeec54502134e2835b85cbb4a.jpeg,"",Экзотика,Россия,"",Полутороспальное,"","",70х70 (2шт.),143х215,150х215,Обычная,"","","","","","","",Бязь,100% хлопок,Прорезь(запах),"","","","","",Прямоугольная ПВХ,"","","","",2000863390131,"","","","",Alvitek
Э-Б5-20-585,"585 КПБ 2сп (5) ""Экзотика"" Поплин","",1,1305.0,1957.5,http://alvitek.com.ru/upload/iblock/8ba/8bacb19b766ec6db637af61fc6d73afa.jpeg,"",Экзотика,Россия,"",Двуспальное,"","",70х70 (2шт.),175х215,215х220,Обычная,"","","","","","","",Поплин,100% хлопок,Прорезь(запах),"","","","","",Прямоугольная ПВХ,"","","","",2000925571287,"","","","",Alvitek
Э-Б5-15-Кошки-Мышки,"Кошки-Мышки КПБ 1.5 сп (5) ""Экзотика"" Бязь","Комплект постельного белья ""Экзотика"", 100 % хлопок - БЯЗЬ импортная",1,1113.0,1669.5,http://alvitek.com.ru/upload/iblock/906/906e5c0dd7bd4d4eff306b348b6561ed.jpeg,"",Экзотика,Россия,"",Полутороспальное,"","",70х70 (2шт.),143х215,150х215,Обычная,"","","","","","","",Бязь,100% хлопок,Прорезь(запах),"","","","","",Прямоугольная ПВХ,"","","","",2000925551814,"","","","",Alvitek
Э-Б5-15-Мишки,"Мишки КПБ 1.5 сп (5) ""Экзотика"" Бязь","Комплект постельного белья ""Экзотика"", 100 % хлопок - БЯЗЬ импортная",1,1001.0,1501.5,http://alvitek.com.ru/upload/iblock/7b5/7b52f4beda0eec6de0fd39883803aa65.jpeg,"",Экзотика,Россия,"",Полутороспальное,"","",70х70 (2шт.),143х215,150х215,Обычная,"","","","","","","",Бязь,100% хлопок,Прорезь(запах),"","","","","",Прямоугольная ПВХ,"","","","",2000925551821,"","","","",Alvitek
Э-Б5-15-Монте-Карло красн,"Монте-Карло красный КПБ 1.5 сп (5) ""Экзотика"" Бязь","Комплект постельного белья ""Экзотика"", 100 % хлопок - БЯЗЬ импортная",1,1001.0,1501.5,http://alvitek.com.ru/upload/iblock/800/8006d044e194e54bb6facc4bf4a915d2.jpeg,"",Экзотика,Россия,"",Полутороспальное,"","",70х70 (2шт.),143х215,150х215,Обычная,"","","","","","","",Бязь,100% хлопок,Прорезь(запах),"","","","","",Прямоугольная ПВХ,"","","","",2000900092301,"","","","",Alvitek
Э-Б5-15-Рапсодия,"Рапсодия КПБ 1.5 сп (5) ""Экзотика"" Поплин","Комплект постельного белья ""Экзотика"", 100 % хлопок - БЯЗЬ импортная",1,1001.0,1501.5,http://alvitek.com.ru/upload/iblock/de2/de28c442814f57f7ec670e0cdc5ed6a8.jpeg,"",Экзотика,Россия,"",Полутороспальное,"","",70х70 (2шт.),143х215,150х215,Обычная,"","","","","","","",Поплин,100% хлопок,Прорезь(запах),"","","","","",Прямоугольная ПВХ,"","","","",2000925565101,"","","","",Alvitek
Э-Б5-15-Роботы,"Роботы КПБ 1.5 сп (5) ""Экзотика"" Бязь","Комплект постельного белья ""Экзотика"", 100 % хлопок - БЯЗЬ импортная",1,1113.0,1669.5,http://alvitek.com.ru/upload/iblock/887/887742e976eb1cdade694607589f03ec.jpeg,"",Экзотика,Россия,"",Полутороспальное,"","",70х70 (2шт.),143х215,150х215,Обычная,"","","","","","","",Бязь,100% хлопок,Прорезь(запах),"","","","","",Прямоугольная ПВХ,"","","","",2000925563299,"","","","",Alvitek
Э-Б5-15-Свежесть,"Свежесть КПБ 1.5 сп (5) ""Экзотика"" Поплин","Комплект постельного белья ""Экзотика"", 100 % хлопок - БЯЗЬ импортная",1,1060.0,1590.0,http://alvitek.com.ru/upload/iblock/477/477c5ad1da265c89d0eea86647e06095.jpeg,"",Экзотика,Россия,"",Полутороспальное,"","",70х70 (2шт.),143х215,150х215,Обычная,"","","","","","","",Поплин,100% хлопок,Прорезь(запах),"","","","","",Прямоугольная ПВХ,"","","","",2000884288509,"","","","",Alvitek
